country,iso3,year,remittances_pct_gdp
Angola,AGO,2025,0.0423340594644701
Angola,AGO,2024,0.0495140569771656
Angola,AGO,2023,0.0113790077401704
Angola,AGO,2022,0.0109218272204429
Angola,AGO,2021,0.0161350488682435
Angola,AGO,2020,0.0137630678180384
Angola,AGO,2019,0.00424351721639647
Angola,AGO,2018,0.0017449075976164
Burundi,BDI,2025,8.11526725410368
Burundi,BDI,2024,7.79852802134993
Burundi,BDI,2023,5.72250537521322
Burundi,BDI,2022,4.0648096101064
Burundi,BDI,2021,4.90478816370204
Burundi,BDI,2020,4.55797350513428
Burundi,BDI,2019,3.19158012142311
Burundi,BDI,2018,1.65744632556755
Cote d'Ivoire,CIV,2024,2.03272330773983
Cote d'Ivoire,CIV,2023,1.62303459294911
Cote d'Ivoire,CIV,2022,1.46910313622564
Cote d'Ivoire,CIV,2021,0.604706878049211
Cote d'Ivoire,CIV,2020,0.522225685301873
Cote d'Ivoire,CIV,2019,0.543681143136753
Cote d'Ivoire,CIV,2018,0.567383238919073
Cameroon,CMR,2024,1.29492646677846
Cameroon,CMR,2023,1.61132543192255
Cameroon,CMR,2022,1.26876259890659
Cameroon,CMR,2021,0.955517885808094
Cameroon,CMR,2020,0.819403311730562
Cameroon,CMR,2019,0.89632151644519
Cameroon,CMR,2018,0.834813887206769
"Congo, Dem. Rep.",COD,2025,3.64522354410495
"Congo, Dem. Rep.",COD,2024,2.64241574731216
"Congo, Dem. Rep.",COD,2023,4.722354634934
"Congo, Dem. Rep.",COD,2022,4.63187810938395
"Congo, Dem. Rep.",COD,2021,2.28193902407841
"Congo, Dem. Rep.",COD,2020,2.56157002626062
"Congo, Dem. Rep.",COD,2019,4.43222974115802
"Congo, Dem. Rep.",COD,2018,3.90636084242032
Algeria,DZA,2024,0.667941907847866
Algeria,DZA,2023,0.753275484255268
Algeria,DZA,2022,0.755694605229352
Algeria,DZA,2021,0.962189288322084
Algeria,DZA,2020,1.03085687360381
Algeria,DZA,2019,0.923106483245038
Algeria,DZA,2018,1.0202789274424
"Egypt, Arab Rep.",EGY,2025,11.3667005342464
"Egypt, Arab Rep.",EGY,2024,7.59757024437157
"Egypt, Arab Rep.",EGY,2023,4.93326946835969
"Egypt, Arab Rep.",EGY,2022,5.94293350334715
"Egypt, Arab Rep.",EGY,2021,7.4144321712116
"Egypt, Arab Rep.",EGY,2020,7.71274724506713
"Egypt, Arab Rep.",EGY,2019,8.40388463187991
"Egypt, Arab Rep.",EGY,2018,9.71698574857486
Ethiopia,ETH,2024,4.766710838993
Ethiopia,ETH,2023,0.396956017593763
Ethiopia,ETH,2022,0.414325120261523
Ethiopia,ETH,2021,0.410418210796157
Ethiopia,ETH,2020,0.409506869488673
Ethiopia,ETH,2019,0.52227003564586
Ethiopia,ETH,2018,0.523561857784221
Ghana,GHA,2025,2.12143124533705
Ghana,GHA,2024,3.63485196347604
Ghana,GHA,2023,3.04707983231817
Ghana,GHA,2022,2.87894180185027
Ghana,GHA,2021,2.45987576586277
Ghana,GHA,2020,6.13064485540951
Ghana,GHA,2019,5.93056152121388
Ghana,GHA,2018,5.23431525252006
Guinea,GIN,2024,2.46482438123289
Guinea,GIN,2023,2.21728188238975
Guinea,GIN,2022,2.64823563849093
Guinea,GIN,2021,2.01480853069547
Guinea,GIN,2020,0.159915464208879
Guinea,GIN,2019,1.17631205262223
Guinea,GIN,2018,0.239773359100361
"Gambia, The",GMB,2024,21.9990433005617
"Gambia, The",GMB,2023,21.6141314544414
"Gambia, The",GMB,2022,22.7621227874971
"Gambia, The",GMB,2021,27.1602920462379
"Gambia, The",GMB,2020,22.9790072609688
"Gambia, The",GMB,2019,15.2086255711844
"Gambia, The",GMB,2018,12.6915888581496
Guinea-Bissau,GNB,2024,9.88177152873842
Guinea-Bissau,GNB,2023,9.84146392808129
Guinea-Bissau,GNB,2022,10.2469782639172
Guinea-Bissau,GNB,2021,10.8044875553502
Guinea-Bissau,GNB,2020,10.2599431457546
Guinea-Bissau,GNB,2019,9.4714856812533
Guinea-Bissau,GNB,2018,8.23504062020368
Kenya,KEN,2024,4.15276804487158
