iso3,country_name,year,oil_rents_pct_gdp,natural_resources_rents_pct_gdp,gdp_per_capita_usd,energy_use_kg_oil_eq,electricity_from_oil_pct,merchandise_exports_usd,fdi_inflows_usd,oil_dependency_ratio,is_african
AGO,Angola,2012,34.3328389540912,34.7310076331615,,,,,,0.9885356427525552,1
AGO,Angola,2013,29.0014846107501,29.4000452272015,,,,,,0.9864435373016828,1
AGO,Angola,2014,21.736607448329,22.124247625088,,,,,,0.9824789442186757,1
AGO,Angola,2015,12.7187303090272,13.3056748880613,,543.360923983701,45.6669411280362,,,0.9558876506474132,1
AGO,Angola,2016,19.7483988340046,20.8851202682195,2082.37343594705,487.948973476526,41.6758342500917,27589000000.0,-179517618.92,0.9455726651502876,1
AGO,Angola,2017,24.7110060055382,25.9503299089307,2832.14997950512,481.000357792661,28.3545953999441,34613000000.0,-7397295409.18991,0.9522424605875244,1
AGO,Angola,2018,30.7304027285905,32.045405604301,2891.83032378747,428.639910135522,20.0214132762313,40758000000.0,-6456076413.12033,0.9589643865973096,1
AGO,Angola,2019,27.504828641196,28.8978590593907,2507.86807213642,444.183463637853,17.407530823059,35432000000.0,-4098478747.63754,0.9517946843282835,1
AGO,Angola,2020,18.5719595053837,20.2476653863539,1749.1794838482,423.490503820708,15.1443759816359,22135000000.0,-1866468113.07453,0.9172395508817742,1
AGO,Angola,2021,28.2744398825844,29.9674348417559,2266.96834861584,430.74656947008,16.6655816678602,34472000000.0,-4355116552.71588,0.9435055096269861,1
AGO,,2022,,,3598.53669077341,437.568543756493,17.8104138851802,51275000000.0,-6598652652.09389,,1
AGO,,2023,,,2885.51349130806,448.870903352713,17.1645118145341,39506000000.0,-2119632185.51477,,1
AGO,,2024,,,2720.81900669715,,,39250000000.0,-1109663097.06424,,1
AGO,,2025,,,3129.47662331063,,,32492000000.0,1148730635.02496,,1
CMR,Cameroon,2012,5.26170344833076,8.40581417479506,,,,,,0.6259600008893896,1
CMR,Cameroon,2013,4.19597685270569,7.33302882488587,,,,,,0.5722024217968344,1
CMR,Cameroon,2014,3.67835628658685,7.03590731300358,,,,,,0.5227977178989565,1
CMR,Cameroon,2015,1.89664344480798,5.63563339959601,,402.819924200123,26.269592476489,,,0.3365448584615069,1
CMR,Cameroon,2016,1.55546940126434,5.36737216526029,1441.7201725688,399.88337314644,15.2066994550047,3305000000.0,663893595.165465,0.2898009218238936,1
CMR,Cameroon,2017,2.19707562839754,6.08352640758934,1496.08951771242,392.866372374935,14.5524233432245,3233000000.0,814458940.927624,0.3611516546811792,1
CMR,Cameroon,2018,2.78430133697793,6.10463986256462,1610.69641591017,392.351717702361,14.0927090612625,3803000000.0,765092012.778526,0.4560959204247337,1
CMR,Cameroon,2019,2.42269397588966,5.55584424286198,1555.22660476477,387.38570034475,12.0844140532893,4084000000.0,1024779237.90888,0.4360622562452648,1
CMR,Cameroon,2020,1.28058779283346,4.34202268521826,1555.60370660749,386.861060816622,9.69717984281091,3132000000.0,675186993.652869,0.2949288582008154,1
CMR,Cameroon,2021,2.36159953238547,5.52598268395679,1672.32657340872,378.003030105632,5.4633555420957,4317000000.0,963531503.483344,0.42736281806342635,1
CMR,,2022,,,1604.87726954895,374.114620505852,5.76652601969058,5584000000.0,925681548.563251,,1
CMR,,2023,,,1720.47510154506,370.718209068186,4.19734904270987,4927000000.0,821546383.239812,,1
CMR,,2024,,,1830.00833684727,,,5364000000.0,888218144.392838,,1
CMR,,2025,,,1972.3815800786,,,5100000000.0,,,1
COG,"Congo, Rep.",2012,38.0875246076633,41.3573491386651,,,,,,0.9209372796104857,1
COG,"Congo, Rep.",2013,29.6858074019147,33.1448495573332,,,,,,0.8956386225426931,1
COG,"Congo, Rep.",2014,24.8226399767107,27.6582312920434,,,,,,0.8974774892366877,1
COG,"Congo, Rep.",2015,12.2746700668843,15.885704604199,,572.255835438478,8.52293246659444,,,0.7726865362736122,1
COG,"Congo, Rep.",2016,12.8004971968497,17.0000392659621,2093.10728558843,583.845565741622,6.13143631436314,7901000000.0,50608700.3526123,0.7529686841652873,1
COG,"Congo, Rep.",2017,25.0227768251894,29.8063807729514,2211.63309874797,552.518028240617,3.81370232872089,8252000000.0,4416953730.0,0.8395107415354832,1
COG,"Congo, Rep.",2018,38.248715891351,42.6682046537325,2694.43413191427,486.781245674934,4.04580152671756,11155000000.0,4315250920.0,0.8964219657647372,1
COG,"Congo, Rep.",2019,35.8517991110343,39.2430391553175,2488.42466724916,553.078353158029,1.10183639398998,5576000000.0,-1427679257.05894,0.913583654138987,1
COG,"Congo, Rep.",2020,22.4084125429251,26.2181324216101,1993.586671931,565.387418227773,1.13357843137255,4893000000.0,-1983178866.50125,0.8546914090820265,1
COG,"Congo, Rep.",2021,34.3828809069635,37.7125480946685,2516.16255145432,581.818154474185,1.08823529411765,7512000000.0,-320209517.696022,0.9117093021838076,1
COG,,2022,,,2620.83804267402,592.046625837502,1.09182530795073,8870000000.0,532256250.0,,1
COG,,2023,,,2477.97845544866,576.049227168162,1.32107983917289,9465000000.0,626473710.0,,1
COG,,2024,,,2482.2489948456,,,7859000000.0,603616460.0,,1
COG,,2025,,,2514.73393584747,,,7500000000.0,,,1
DZA,Algeria,2012,22.6025382987382,26.2525144621236,,,,,,0.8609666068882094,1
DZA,Algeria,2013,20.8724313901278,24.2231338959379,,,,,,0.8616734514945651,1
DZA,Algeria,2014,19.3167294732848,22.6123097835033,,,,,,0.854257245643133,1
DZA,Algeria,2015,11.7459031918092,14.9252527493911,,1414.49702064392,1.31980580830838,,,0.7869818614822716,1
DZA,Algeria,2016,10.0262189142963,12.8191814025545,4424.98529027556,1371.20207705232,1.36625491217939,30026000000.0,1638263953.77736,0.7821262996011865,1
DZA,Algeria,2017,12.1565741270026,15.372392970843,4554.66753957828,1380.3468180174,0.422268410113394,35191000000.0,1230243450.87888,0.7908055792003312,1
DZA,Algeria,2018,15.9428081774505,20.7172028374976,4577.21029180491,1442.30211193457,0.49176264951802,41797000000.0,1466116068.03411,0.7695444362109749,1
DZA,Algeria,2019,14.1421031504305,18.5236789388593,4468.45341883656,1463.50985736009,0.40355224100287,35312000000.0,1381200049.59264,0.7634608220704444,1
DZA,Algeria,2020,9.03841379679424,14.0343770936226,3743.5419522929,1373.67832094406,0.252668814351589,21932000000.0,1143918159.62918,0.6440195910726533,1
DZA,Algeria,2021,14.4615654623053,22.5902703479201,4160.55926736925,1451.44517709293,0.241246047546551,38637000000.0,869194073.014935,0.6401678793382296,1
DZA,,2022,,,4960.30334332888,1499.50999958517,0.237857745722397,65715000000.0,241796029.580125,,1
DZA,,2023,,,5370.477235078,1503.41406578063,0.279209846591444,55555000000.0,1214378660.66465,,1
DZA,,2024,,,5752.99076651465,,,49067000000.0,1226414841.37248,,1
DZA,,2025,,,6051.00322704182,,,45400000000.0,,,1
EGY,"Egypt, Arab Rep.",2012,8.38345897037217,10.7454978351353,,,,,,0.7801833939196555,1
EGY,"Egypt, Arab Rep.",2013,7.82863019779494,9.78188256424924,,,,,,0.8003193808937111,1
EGY,"Egypt, Arab Rep.",2014,6.82340013626772,8.43222797439408,,,,,,0.8092048930588874,1
EGY,"Egypt, Arab Rep.",2015,3.05526433674059,4.12906894708286,,810.817127279737,20.5388652246078,,,0.7399402567252114,1
EGY,"Egypt, Arab Rep.",2016,2.35006516963224,3.20908060820144,3270.6287768197,872.581407763809,15.5331605314976,25468000000.0,8106800000.0,0.7323172760528931,1
EGY,"Egypt, Arab Rep.",2017,4.12683269397819,5.69886428656261,2395.10333299491,897.218073562482,11.2109561732727,25604000000.0,7408700000.0,0.7241500212084145,1
EGY,"Egypt, Arab Rep.",2018,5.47658822874947,7.59656355901849,2484.70315630508,870.813573488394,4.61057723605735,27624000000.0,8141300000.0,0.7209296922485131,1
EGY,"Egypt, Arab Rep.",2019,3.8819618632175,5.72496131230483,2962.98892023003,844.783013447093,3.56121600519175,29000000000.0,9010100000.0,0.678076523394819,1
EGY,"Egypt, Arab Rep.",2020,1.85770095140202,3.25774327235436,3511.11381026379,805.259456646637,1.08749382105783,27078000000.0,5851800000.0,0.5702416661149194,1
EGY,"Egypt, Arab Rep.",2021,2.98581458250197,5.1391200748227,3827.35415374308,857.821938469275,6.22959358376457,41310000000.0,5122300000.0,0.5809972405840276,1
EGY,,2022,,,4233.30783744856,902.48842991302,8.57792338035702,51280000000.0,11399900000.0,,1
EGY,,2023,,,3456.78965212363,928.39494742708,11.4210012550551,42081000000.0,9840600000.0,,1
EGY,,2024,,,3338.47371043679,,,42247000000.0,46578000000.0,,1
EGY,,2025,,,3085.80712036204,,,51403000000.0,15452700000.0,,1
GAB,Gabon,2012,38.2761163072887,40.6293332424739,,,,,,0.942080837971391,1
GAB,Gabon,2013,30.2411289292074,32.806984483505,,,,,,0.921789350813767,1
GAB,Gabon,2014,22.1627532667092,24.7540184011901,,,,,,0.8953194147114184,1
GAB,Gabon,2015,9.98640233955356,12.5534347249347,,2550.96047927478,9.02691511387163,,,0.7955115518876853,1
GAB,Gabon,2016,9.0185416132992,11.6621945364629,6677.07003901644,2489.24179859903,11.1984282907662,9503000000.0,1243660160.0,0.773314283611195,1
GAB,Gabon,2017,14.3932577694784,17.699784026005,6921.73373135624,2263.59335681829,13.072625698324,5771000000.0,1314029330.0,0.8131883275146995,1
