country_code,country_name,year,incidence_per_1000,low,high,parent_region
COD,COD,2015,303.0394902,233.8963868,385.0363682,Africa
CPV,CPV,2015,0.052543874,0.052543874,0.052543874,Africa
GMB,GMB,2024,75.44419593,58.73319331,93.91907462,Africa
TZA,TZA,2022,132.3930445,97.69358523,176.7966733,Africa
LBR,LBR,2017,356.0853913,282.2689271,440.3571545,Africa
NER,NER,2011,424.0201445,296.5481531,584.3712985,Africa
SLE,SLE,2010,438.8863123,338.1077854,558.8244012,Africa
CPV,CPV,2017,3.172055912,3.172055912,3.172055912,Africa
ZWE,ZWE,2023,49.39604595,29.50589926,70.61433082,Africa
BFA,BFA,2011,554.6817927,447.4540461,677.819365,Africa
SLE,SLE,2019,321.8810006,194.9157048,504.2935739,Africa
SEN,SEN,2013,57.86767836,41.28246726,76.75070304,Africa
NAM,NAM,2012,3.132021359,1.280104661,5.396666257,Africa
KEN,KEN,2012,84.2251522,63.2646129,110.1368387,Africa
SEN,SEN,2021,41.85352816,33.06127868,51.1073964,Africa
CMR,CMR,2012,261.1390195,193.5544613,344.9403612,Africa
CPV,CPV,2018,0.014982732,0.014982732,0.014982732,Africa
ZWE,ZWE,2016,66.16057787,43.35376824,91.47365345,Africa
CIV,CIV,2018,280.2152564,189.9177108,400.7790158,Africa
SSD,SSD,2021,276.8211762,178.5715291,411.7899382,Africa
LBR,LBR,2014,287.6955971,194.2337565,413.2495164,Africa
NGA,NGA,2010,363.3581836,294.238556,443.4500325,Africa
GAB,GAB,2013,199.1852835,108.420027,336.7906122,Africa
BWA,BWA,2022,0.339391901,0.260262278,0.480990653,Africa
CAF,CAF,2012,434.7887851,260.7197635,681.9502996,Africa
ETH,ETH,2022,59.88726611,33.2313284,89.39387915,Africa
CMR,CMR,2011,266.5984688,202.7275689,342.4175982,Africa
BWA,BWA,2019,0.167515671,0.129355731,0.230253201,Africa
ETH,ETH,2013,184.0959032,100.8099893,340.344377,Africa
STP,STP,2015,10.26506433,10.26506433,10.26506433,Africa
AGO,AGO,2022,260.0909908,161.3792134,393.0457942,Africa
GIN,GIN,2015,384.3909316,290.8155386,503.7725831,Africa
CPV,CPV,2011,0.052641078,0.052641078,0.052641078,Africa
RWA,RWA,2011,36.94163641,27.57434626,46.7888966,Africa
SWZ,SWZ,2014,1.222643739,1.222643739,1.222643739,Africa
GNQ,GNQ,2023,229.8104137,147.874806,340.4949612,Africa
AGO,AGO,2015,174.4717751,133.5345612,224.2944104,Africa
GAB,GAB,2016,182.548162,107.7451214,291.1408147,Africa
GIN,GIN,2017,358.4773325,259.241759,482.0283321,Africa
GMB,GMB,2017,63.21308827,47.24979496,80.74040993,Africa
MYT,MYT,2022,0.0,0.0,0.0,Africa
ZAF,ZAF,2010,1.53981207,1.53981207,1.53981207,Africa
TCD,TCD,2019,217.2197469,136.7474702,327.5177126,Africa
SLE,SLE,2017,350.548609,271.2223885,447.0822703,Africa
TZA,TZA,2012,121.4475751,89.98237387,160.2519074,Africa
STP,STP,2023,10.17018162,10.17018162,10.17018162,Africa
AGO,AGO,2012,153.0532906,113.4606981,201.9277819,Africa
TZA,TZA,2023,138.4507573,100.925264,186.2766759,Africa
ERI,ERI,2024,102.4243955,65.71928466,142.8278783,Africa
ZAF,ZAF,2022,0.327517165,0.327517165,0.327517165,Africa
MWI,MWI,2022,285.5038484,200.3636734,395.0983345,Africa
SWZ,SWZ,2015,0.993790373,0.993790373,0.993790373,Africa
MWI,MWI,2021,280.4884339,193.8231852,395.2495848,Africa
GHA,GHA,2010,366.4042865,299.3956142,442.1780551,Africa
ETH,ETH,2024,138.4950248,76.56462664,207.5954257,Africa
TGO,TGO,2015,372.3465213,301.4249409,454.4557035,Africa
SSD,SSD,2013,276.1013856,209.065503,358.6147059,Africa
NAM,NAM,2024,7.199087298,5.701467175,8.83769561,Africa
MDG,MDG,2021,166.3284226,106.2935672,230.784155,Africa
COM,COM,2018,19.68143703,19.68143703,19.68143703,Africa
MRT,MRT,2016,94.53058931,40.2552784,177.3898574,Africa
TZA,TZA,2015,141.8033753,106.0000419,186.658681,Africa
ERI,ERI,2015,20.61473248,13.24500587,28.72362863,Africa
MYT,MYT,2015,0.018509264,0.018509264,0.018509264,Africa
GHA,GHA,2021,212.4652104,160.9065186,276.5365199,Africa
GNQ,GNQ,2015,333.8154772,229.6367139,471.9820444,Africa
AGO,AGO,2019,243.1031771,160.147561,352.1128561,Africa
GIN,GIN,2013,413.7324467,329.9210664,514.724115,Africa
TGO,TGO,2024,249.252173,166.3377153,356.9556059,Africa
SSD,SSD,2010,275.6155299,215.638386,346.787446,Africa
ERI,ERI,2012,17.28126683,10.87916712,24.83486105,Africa
BEN,BEN,2014,369.1138615,284.8999338,470.6866671,Africa
