country_code,year,deaths_count,low,high,parent_region
MDG,2019,5004.0,2020.0,8970.0,Africa
GAB,2024,439.0,380.0,550.0,Africa
MWI,2018,6921.0,6220.0,7860.0,Africa
COG,2021,2219.0,1940.0,2770.0,Africa
MOZ,2015,21866.0,18200.0,27000.0,Africa
COM,2023,53.0,25.0,82.0,Africa
BFA,2016,18145.0,15000.0,22100.0,Africa
SWZ,2023,7.0,,,Africa
GMB,2015,664.0,630.0,700.0,Africa
ZMB,2011,6666.0,6440.0,6920.0,Africa
MOZ,2010,23849.0,21900.0,26100.0,Africa
BDI,2011,4751.0,4430.0,5130.0,Africa
KEN,2015,10423.0,10200.0,10700.0,Africa
ERI,2016,198.0,71.0,390.0,Africa
LBR,2015,3423.0,3120.0,3780.0,Africa
NAM,2018,58.0,,,Africa
MOZ,2023,17875.0,12400.0,27300.0,Africa
RWA,2010,3002.0,2920.0,3100.0,Africa
COD,2017,68597.0,50200.0,93500.0,Africa
BEN,2022,10942.0,8230.0,14500.0,Africa
GMB,2012,692.0,660.0,730.0,Africa
GNB,2011,868.0,790.0,970.0,Africa
COD,2014,60156.0,47600.0,75700.0,Africa
AGO,2015,12090.0,9130.0,16500.0,Africa
LBR,2017,4383.0,3850.0,5060.0,Africa
CAF,2010,5592.0,5020.0,6220.0,Africa
ETH,2024,22360.0,8410.0,43400.0,Africa
DZA,2016,0.0,,,Africa
GMB,2010,563.0,540.0,590.0,Africa
GAB,2017,406.0,360.0,470.0,Africa
BFA,2021,16733.0,12300.0,23500.0,Africa
KEN,2017,10664.0,10400.0,10900.0,Africa
GIN,2023,10188.0,8410.0,12600.0,Africa
ZWE,2015,2731.0,1100.0,4980.0,Africa
TCD,2012,12498.0,11300.0,13700.0,Africa
CIV,2018,11026.0,10000.0,12100.0,Africa
GHA,2013,15618.0,15000.0,16300.0,Africa
ERI,2018,196.0,80.0,360.0,Africa
NAM,2024,32.0,,,Africa
AGO,2022,20286.0,13000.0,33700.0,Africa
BFA,2024,16184.0,11300.0,24100.0,Africa
CAF,2012,6239.0,5550.0,7020.0,Africa
CAF,2015,4335.0,3790.0,4960.0,Africa
SSD,2021,6738.0,3760.0,13000.0,Africa
MYT,2010,237.0,237.0,237.0,Africa
CAF,2011,5569.0,4980.0,6220.0,Africa
SWZ,2019,3.0,,,Africa
MWI,2013,8372.0,7950.0,8850.0,Africa
MWI,2015,7341.0,6850.0,7880.0,Africa
MLI,2013,23614.0,21700.0,25700.0,Africa
COM,2011,62.0,29.0,96.0,Africa
NER,2014,30698.0,27900.0,33900.0,Africa
CPV,2011,1.0,,,Africa
CIV,2015,9667.0,8950.0,10500.0,Africa
GIN,2019,10898.0,9710.0,12400.0,Africa
COD,2013,57471.0,46300.0,70600.0,Africa
ZWE,2017,3424.0,1330.0,6480.0,Africa
MDG,2012,4105.0,1580.0,8100.0,Africa
GMB,2011,665.0,630.0,700.0,Africa
MOZ,2022,21094.0,13100.0,36000.0,Africa
MOZ,2024,17946.0,12500.0,27400.0,Africa
SEN,2012,1807.0,750.0,3260.0,Africa
CPV,2024,2.0,,,Africa
COG,2024,2283.0,2010.0,2850.0,Africa
CMR,2017,11922.0,10900.0,13000.0,Africa
GIN,2022,10283.0,8680.0,12400.0,Africa
GNQ,2013,720.0,620.0,840.0,Africa
TGO,2021,3546.0,2980.0,4300.0,Africa
BEN,2014,8848.0,8150.0,9620.0,Africa
CAF,2014,5838.0,5140.0,6650.0,Africa
RWA,2021,3263.0,3050.0,3640.0,Africa
GNQ,2019,739.0,630.0,920.0,Africa
LBR,2011,3029.0,2840.0,3250.0,Africa
BEN,2018,10715.0,9600.0,12000.0,Africa
ERI,2019,438.0,180.0,810.0,Africa
CIV,2020,11551.0,10000.0,13300.0,Africa
MRT,2012,669.0,650.0,690.0,Africa
ZMB,2017,7892.0,7400.0,8470.0,Africa
MYT,2012,29.0,29.0,29.0,Africa
LBR,2022,3846.0,2920.0,5380.0,Africa
ERI,2017,221.0,90.0,400.0,Africa
SSD,2012,6641.0,5010.0,8710.0,Africa
CPV,2014,1.0,,,Africa
UGA,2015,15762.0,14700.0,17000.0,Africa
RWA,2017,3107.0,2960.0,3300.0,Africa
UGA,2013,18788.0,17700.0,20000.0,Africa
MLI,2017,16903.0,15000.0,19200.0,Africa
MYT,2019,4.0,4.0,4.0,Africa
MUS,2021,0.0,,,Africa
CMR,2015,12214.0,11300.0,13200.0,Africa
CIV,2022,11144.0,9450.0,13300.0,Africa
SLE,2020,9392.0,6480.0,13100.0,Africa
COM,2016,3.0,1.0,5.0,Africa
CIV,2010,32193.0,29900.0,34600.0,Africa
ZAF,2024,10.0,,,Africa
SWZ,2017,20.0,,,Africa
TGO,2023,3456.0,2870.0,4260.0,Africa
UGA,2014,17748.0,16600.0,19100.0,Africa
