country_code,year,deaths_count,low,high,parent_region
BDI,2022,7146.0,5300.0,10400.0,Africa
BEN,2021,11115.0,8600.0,14300.0,Africa
GHA,2022,11463.0,10700.0,12500.0,Africa
SWZ,2015,5.0,,,Africa
BEN,2016,11244.0,10200.0,12400.0,Africa
STP,2014,0.0,,,Africa
KEN,2020,11384.0,10800.0,12000.0,Africa
MRT,2013,682.0,660.0,700.0,Africa
ZAF,2023,64.0,,,Africa
GNQ,2010,602.0,550.0,670.0,Africa
SEN,2020,1529.0,670.0,2580.0,Africa
MYT,2020,2.0,2.0,2.0,Africa
ZWE,2011,1848.0,730.0,3400.0,Africa
TGO,2016,4642.0,4170.0,5160.0,Africa
BWA,2016,3.0,,,Africa
MOZ,2020,22295.0,13900.0,37400.0,Africa
ETH,2013,26097.0,9250.0,51400.0,Africa
RWA,2020,3186.0,3000.0,3510.0,Africa
AGO,2016,12961.0,9580.0,18100.0,Africa
COD,2021,70300.0,45700.0,111000.0,Africa
COG,2013,2029.0,1850.0,2230.0,Africa
BWA,2012,3.0,,,Africa
SLE,2024,6646.0,5320.0,8360.0,Africa
ZMB,2023,8525.0,7570.0,10100.0,Africa
BFA,2018,16604.0,13100.0,21300.0,Africa
ZWE,2019,2003.0,740.0,3810.0,Africa
SEN,2024,1742.0,770.0,2960.0,Africa
CPV,2020,0.0,,,Africa
NAM,2023,23.0,,,Africa
KEN,2013,10297.0,10100.0,10600.0,Africa
MRT,2019,688.0,180.0,1720.0,Africa
CMR,2024,11702.0,9800.0,14400.0,Africa
CMR,2011,11870.0,11100.0,12700.0,Africa
STP,2015,0.0,,,Africa
ZAF,2017,301.0,,,Africa
ZAF,2012,72.0,,,Africa
CPV,2017,2.0,,,Africa
DZA,2023,0.0,,,Africa
RWA,2014,2959.0,2860.0,3070.0,Africa
MDG,2017,5114.0,2140.0,9040.0,Africa
BFA,2014,24153.0,20700.0,28100.0,Africa
COG,2023,2244.0,1970.0,2820.0,Africa
MYT,2024,0.0,0.0,0.0,Africa
SEN,2022,1721.0,750.0,2900.0,Africa
CIV,2017,10298.0,9430.0,11200.0,Africa
UGA,2023,15945.0,13800.0,19300.0,Africa
SWZ,2014,4.0,,,Africa
AGO,2010,12185.0,9980.0,15100.0,Africa
KEN,2016,10483.0,10300.0,10700.0,Africa
COM,2018,38.0,18.0,59.0,Africa
NGA,2018,181095.0,149000.0,224000.0,Africa
MLI,2014,21886.0,20000.0,24000.0,Africa
SLE,2019,7977.0,6930.0,9160.0,Africa
CIV,2013,10708.0,9960.0,11500.0,Africa
BFA,2012,31360.0,27900.0,35200.0,Africa
SEN,2023,1605.0,690.0,2960.0,Africa
TGO,2019,3426.0,3020.0,3910.0,Africa
NGA,2012,172012.0,156000.0,190000.0,Africa
MRT,2018,884.0,250.0,2100.0,Africa
TGO,2018,3558.0,3170.0,4000.0,Africa
DZA,2017,0.0,,,Africa
GIN,2021,10381.0,8970.0,12300.0,Africa
ZWE,2016,1947.0,770.0,3590.0,Africa
ZWE,2012,1516.0,620.0,2760.0,Africa
GHA,2010,16891.0,16200.0,17600.0,Africa
TCD,2016,13116.0,11300.0,15100.0,Africa
STP,2023,0.0,,,Africa
SSD,2020,7136.0,4000.0,13300.0,Africa
TCD,2017,13345.0,11300.0,15700.0,Africa
ZWE,2022,936.0,340.0,1780.0,Africa
KEN,2024,11656.0,11300.0,12100.0,Africa
TCD,2022,13796.0,10500.0,18700.0,Africa
MOZ,2016,20963.0,17100.0,26700.0,Africa
GNB,2013,859.0,770.0,970.0,Africa
SWZ,2010,8.0,,,Africa
NGA,2022,187692.0,141000.0,261000.0,Africa
NAM,2022,28.0,,,Africa
MDG,2022,9121.0,3510.0,17000.0,Africa
MRT,2015,751.0,720.0,780.0,Africa
ZAF,2014,174.0,,,Africa
TZA,2023,25540.0,24000.0,27500.0,Africa
CIV,2019,11329.0,10200.0,12600.0,Africa
COD,2010,85123.0,72200.0,99700.0,Africa
TCD,2013,12385.0,11100.0,13700.0,Africa
NAM,2012,4.0,,,Africa
BDI,2021,7226.0,5370.0,10600.0,Africa
MYT,2022,0.0,0.0,0.0,Africa
NER,2015,32906.0,29800.0,36500.0,Africa
KEN,2023,11478.0,11100.0,11900.0,Africa
SWZ,2021,5.0,,,Africa
BFA,2022,16436.0,11800.0,23700.0,Africa
GNB,2016,855.0,750.0,1000.0,Africa
SSD,2011,6837.0,5290.0,8760.0,Africa
COG,2018,2233.0,1940.0,2700.0,Africa
CPV,2012,0.0,,,Africa
MLI,2024,14239.0,11200.0,18400.0,Africa
GMB,2021,619.0,580.0,660.0,Africa
GNB,2012,861.0,780.0,970.0,Africa
GMB,2013,676.0,640.0,720.0,Africa
NER,2024,35478.0,28500.0,44500.0,Africa
COD,2023,67464.0,43100.0,110000.0,Africa
GHA,2012,16573.0,15900.0,17300.0,Africa
TCD,2019,13294.0,10800.0,16400.0,Africa
CMR,2021,12961.0,10700.0,16000.0,Africa
MLI,2010,19905.0,18600.0,21400.0,Africa
COD,2011,78483.0,65300.0,93200.0,Africa
GIN,2013,13268.0,12200.0,14400.0,Africa
BWA,2018,9.0,,,Africa
BEN,2023,9928.0,7840.0,12700.0,Africa
MLI,2019,13982.0,12100.0,16400.0,Africa
TCD,2018,13611.0,11300.0,16400.0,Africa
GAB,2018,417.0,360.0,490.0,Africa
GAB,2019,420.0,360.0,510.0,Africa
NGA,2010,199233.0,184000.0,216000.0,Africa
TGO,2015,5151.0,4660.0,5700.0,Africa
ETH,2014,22273.0,4860.0,54600.0,Africa
MDG,2016,4088.0,1750.0,7280.0,Africa
GAB,2021,428.0,370.0,520.0,Africa
DZA,2021,0.0,,,Africa
BDI,2023,6302.0,5110.0,8340.0,Africa
STP,2016,1.0,,,Africa
STP,2010,14.0,,,Africa
BEN,2011,8511.0,7930.0,9150.0,Africa
SWZ,2013,4.0,,,Africa
GNQ,2017,778.0,660.0,960.0,Africa
MOZ,2011,23455.0,21200.0,26000.0,Africa
SLE,2016,9480.0,8550.0,10500.0,Africa
ZWE,2024,381.0,140.0,730.0,Africa
ZAF,2013,105.0,,,Africa
CMR,2023,11602.0,9710.0,14300.0,Africa
SSD,2013,6830.0,5030.0,9230.0,Africa
COD,2022,70024.0,44700.0,114000.0,Africa
ETH,2010,18909.0,4780.0,58100.0,Africa
STP,2013,11.0,,,Africa
GHA,2016,12293.0,11800.0,12900.0,Africa
MYT,2013,1.0,1.0,1.0,Africa
COG,2010,1854.0,1760.0,1950.0,Africa
TZA,2014,22996.0,22200.0,23900.0,Africa
NGA,2023,184689.0,135000.0,264000.0,Africa
GHA,2019,11116.0,10600.0,11700.0,Africa
SSD,2018,7642.0,4440.0,13000.0,Africa
CMR,2010,12439.0,11600.0,13300.0,Africa
SSD,2014,6984.0,4930.0,9780.0,Africa
MRT,2024,920.0,300.0,1990.0,Africa
TZA,2011,21003.0,20300.0,21700.0,Africa
DZA,2018,0.0,,,Africa
BWA,2011,8.0,,,Africa
UGA,2020,18514.0,14200.0,25300.0,Africa
BFA,2017,17134.0,13900.0,21400.0,Africa
NER,2020,35694.0,29700.0,43100.0,Africa
AGO,2018,14399.0,10300.0,21100.0,Africa
BWA,2019,7.0,,,Africa
TGO,2020,3577.0,3050.0,4250.0,Africa
MRT,2017,784.0,210.0,1880.0,Africa
MRT,2020,754.0,190.0,1880.0,Africa
GHA,2017,11522.0,11100.0,12100.0,Africa
SLE,2015,10553.0,9600.0,11600.0,Africa
ERI,2021,211.0,83.0,390.0,Africa
KEN,2014,10393.0,10200.0,10600.0,Africa
ETH,2021,8041.0,2890.0,15600.0,Africa
BDI,2013,5113.0,4660.0,5660.0,Africa
GMB,2017,594.0,570.0,620.0,Africa
TGO,2014,5123.0,4680.0,5620.0,Africa
MWI,2016,7092.0,6530.0,7740.0,Africa
ZMB,2024,8682.0,7740.0,10200.0,Africa
GAB,2013,398.0,360.0,450.0,Africa
TZA,2024,26062.0,24500.0,28000.0,Africa
NGA,2024,184933.0,135000.0,264000.0,Africa
GNB,2015,838.0,740.0,960.0,Africa
COD,2012,64511.0,53000.0,77700.0,Africa
CPV,2013,0.0,,,Africa
NER,2017,31978.0,28700.0,35900.0,Africa
GNB,2021,1027.0,820.0,1360.0,Africa
KEN,2021,11669.0,11100.0,12400.0,Africa
ZMB,2012,6979.0,6730.0,7270.0,Africa
TGO,2010,4043.0,3790.0,4320.0,Africa
STP,2017,1.0,,,Africa
DZA,2024,0.0,,,Africa
SSD,2019,7896.0,4430.0,14200.0,Africa
ETH,2018,6500.0,2330.0,12800.0,Africa
ZAF,2015,110.0,,,Africa
GNB,2022,1024.0,810.0,1380.0,Africa
KEN,2012,10203.0,9960.0,10500.0,Africa
ZMB,2016,7930.0,7490.0,8420.0,Africa
MDG,2021,12640.0,4840.0,23700.0,Africa
GIN,2017,11460.0,10400.0,12800.0,Africa
DZA,2020,0.0,,,Africa
ERI,2013,88.0,35.0,160.0,Africa
CMR,2019,11458.0,10200.0,12900.0,Africa
SLE,2023,6635.0,5310.0,8350.0,Africa
BWA,2023,4.0,,,Africa
KEN,2010,9664.0,9440.0,9890.0,Africa
LBR,2020,4628.0,3370.0,6590.0,Africa
AGO,2024,16385.0,11400.0,25500.0,Africa
SWZ,2012,3.0,,,Africa
SWZ,2018,2.0,,,Africa
GIN,2014,12703.0,11700.0,13900.0,Africa
GNB,2018,842.0,730.0,1000.0,Africa
CIV,2014,9562.0,8890.0,10300.0,Africa
COM,2010,92.0,42.0,140.0,Africa
ZMB,2022,8834.0,7570.0,10900.0,Africa
CPV,2010,1.0,,,Africa
CMR,2016,12120.0,11200.0,13100.0,Africa
CAF,2023,5052.0,3900.0,6560.0,Africa
GAB,2022,430.0,370.0,530.0,Africa
MOZ,2017,19817.0,15900.0,25900.0,Africa
GMB,2016,615.0,590.0,650.0,Africa
DZA,2012,0.0,,,Africa
