country,iso3,year,merchandise_trade_pct_gdp
Angola,AGO,2025,38.8434974026826
Angola,AGO,2024,51.60624984055
Angola,AGO,2023,52.0565606337912
Angola,AGO,2022,53.8687258501231
Angola,AGO,2021,58.5701353794977
Angola,AGO,2020,53.7889352887738
Angola,AGO,2019,60.8346839289744
Angola,AGO,2018,62.4886320616714
Angola,AGO,2017,57.3119584481415
Angola,AGO,2016,66.8569470798393
Cote d'Ivoire,CIV,2025,47.8543634946102
Cote d'Ivoire,CIV,2024,43.3550931889167
Cote d'Ivoire,CIV,2023,46.0409211318117
Cote d'Ivoire,CIV,2022,48.38780757823
Cote d'Ivoire,CIV,2021,40.2502180749312
Cote d'Ivoire,CIV,2020,36.4616577863551
Cote d'Ivoire,CIV,2019,38.4231331013285
Cote d'Ivoire,CIV,2018,39.0995064894614
Cote d'Ivoire,CIV,2017,40.8799119714655
Cote d'Ivoire,CIV,2016,40.1939680399576
Cameroon,CMR,2025,24.6040220530055
Cameroon,CMR,2024,25.5344166717683
Cameroon,CMR,2023,26.9551046981702
Cameroon,CMR,2022,30.3468948595835
Cameroon,CMR,2021,25.1000082776787
Cameroon,CMR,2020,21.2222520216774
Cameroon,CMR,2019,26.8908571213348
Cameroon,CMR,2018,23.6738062211437
Cameroon,CMR,2017,22.2418924302504
Cameroon,CMR,2016,25.1697970267184
Algeria,DZA,2025,33.2716413245159
Algeria,DZA,2024,35.0516858153989
Algeria,DZA,2023,39.6883902981106
Algeria,DZA,2022,46.3614848352994
Algeria,DZA,2021,40.8647948623329
Algeria,DZA,2020,34.8625033857803
Algeria,DZA,2019,41.3233431383382
Algeria,DZA,2018,45.2968229485962
Algeria,DZA,2017,42.7899811540678
Algeria,DZA,2016,42.6606340094642
"Egypt, Arab Rep.",EGY,2025,40.7775802668696
"Egypt, Arab Rep.",EGY,2024,32.984637200057
"Egypt, Arab Rep.",EGY,2023,31.645049173425
"Egypt, Arab Rep.",EGY,2022,30.8234300286898
"Egypt, Arab Rep.",EGY,2021,27.2822470021461
"Egypt, Arab Rep.",EGY,2020,22.8144683548419
"Egypt, Arab Rep.",EGY,2019,31.3767326661901
"Egypt, Arab Rep.",EGY,2018,37.9391899189919
"Egypt, Arab Rep.",EGY,2017,35.122413632758
"Egypt, Arab Rep.",EGY,2016,24.4424798848454
Ethiopia,ETH,2025,24.2143879662329
Ethiopia,ETH,2024,16.0791719592128
Ethiopia,ETH,2023,15.2486758230046
Ethiopia,ETH,2022,18.3798473306519
Ethiopia,ETH,2021,18.2651733625901
Ethiopia,ETH,2020,16.5925507966739
Ethiopia,ETH,2019,18.8327880883815
Ethiopia,ETH,2018,21.6096155150915
Ethiopia,ETH,2017,24.5959980733209
Ethiopia,ETH,2016,28.0653603386411
Ghana,GHA,2025,42.5173279686179
Ghana,GHA,2024,41.4906793642673
Ghana,GHA,2023,38.129221445048
Ghana,GHA,2022,43.1512853446266
Ghana,GHA,2021,35.6615526699214
Ghana,GHA,2020,38.4254746538806
Ghana,GHA,2019,42.5426209945473
Ghana,GHA,2018,41.7443795466076
Ghana,GHA,2017,43.8549647138993
Ghana,GHA,2016,42.8503902951703
Kenya,KEN,2025,22.2265085698769
Kenya,KEN,2024,23.5262286138528
Kenya,KEN,2023,23.9774770928872
Kenya,KEN,2022,24.9692050215491
Kenya,KEN,2021,23.9718531382575
Kenya,KEN,2020,21.3287621622631
